id,name,number,frameid
1,PLATE AIR/C DUCT COV,50177-KTC-9000,1
2,BRKT L P STEP,50133-KCC-9000,1
3,BRKT R P STEP,50132-KTR-A000,1
4,STAY SIDE COVER R,50173-KTC-A200,1
5,CLIP 1*50,94591-15000,1
6,CLIP B HARNESS,50178-KCC-9000,1
7,STAY SIDE COVER ,50174-KTC-9000,1
8,STAY L CDI,50166-KTR-A000,1
9,STAY R CDI,50165-KTR-A000,1
10,CLIP HARNESS,50178-MG3-3000,1
11,GUIDE DRAIN HOSE,50127-KTC-A200,1
12,CLIP B HARNESS,50178-KCC-9000,1
13,BRKT RR STOP SW,-,1
14,STOPPER RR BRAKE,50154-KTC-9000,1
15,BRKT M STAND R,50178-KTC-9000,1
16,BRKT M STAND L,50179-KTC-9000,1
17,STAY AIR/C LOW,50143-KTC-A200,1
18,GUIDE THROTTLE CABLE,50144-AAG-5000,1
19,CLIP HARNESS,-,1
20,STAY UTILITY BOX,50159-KTC-9000,1
21,STAY CANISTER WELD,5010A-AAG-5000-20,1
22,GUIDE DRAIN HOSE,50127-AAH-A000,1
23,CLIP HARNESS,50158-KCC-9000,1
24,CLIP HARNESS,50199-HAO-3000,1
25,CLIP HARNESS,-,1
26,COLLAR FUEL TANK MTG,50176-KCC-9000,1
27,"STAY ,CANISTER TUBE",50153-AAH-A000,1
28,BRKT. ENG GUARD,50138-KTC-9000,1
29,Guide Throttle Cable,-,1
30,STOPPER HANDLE,50124-KTR-9000,1
31,COLLAR,-,1
32,PLATE,-,1
33,COLLAR,-,1
34,CLIP HARNESS,50178-MK4-3000,1
35,Guide Throttle Cable,-,1
36,Guide Clutch Cable,-,1
37,BRKT.HORN COMP,50151-KTC-9000,1
38,GUIDE HARNESS,50169-KST-9400,1
39,STAY IGN COIL,50146-KTC-A200,1
40,Guide Throttle Cable,50144-AAG-5000,1
41,CLIP A HARNESS,50152-KCC-9000,1
42,CLIP A HARNESS,50152-KCC-9000,1
43,CLIP 1*100,94591-11000,1
44,STAY AIR/C UP,50131-KTC-9000,1
45,PURGE VALVE BKT,-,1
46,BKT. MAIN STEP,50163-KTC-9000,1
47,HOOK SPRING,50531-KAG-9000,1
48,BRKT. ENG GUARD,50138-KTC-9000,1
49,CLIP A HARNESS,50152-KCC-9000,1
50,HOOK SPG,50531-AAG-1000,1
51,GUIDE DRAIN TUBE,50111-KTR-9000,1
52,PLATE AIR/C DUCT COV,50177-KTC-9000,1
53,STAY SARI GUARD,50157-KCC-9000,1
54,HOOK SEAT,50125-KTC-A200-21,1
55,STAY I3S,50220-AAG-6000,1
56,CLIP  HARNESS,-,1
